{
e
0, 0, 1
1, 1, 0
00, 0, 2
01, 1, 1
10, 1, 1
11, 2, 0
000, 0, 3
001, 1, 2
010, 1, 2
011, 2, 1
100, 1, 2
101, 2, 1
110, 2, 1
111, 3, 0
0000, 0, 4
0001, 1, 3
0010, 1, 3
0011, 2, 2
0100, 1, 3
0101, 2, 2
0110, 2, 2
0111, 3, 1
1000, 1, 3
1001, 2, 2
1010, 2, 2
1011, 3, 1
1100, 2, 2
1101, 3, 1
1110, 3, 1
1111, 4, 0
00000, 0, 5
00001, 1, 4
00010, 1, 4
00011, 2, 3
00100, 1, 4
00101, 2, 3
00110, 2, 3
00111, 3, 2
01000, 1, 4
01001, 2, 3
01010, 2, 3
01011, 3, 2
01100, 2, 3
01101, 3, 2
01110, 3, 2
01111, 4, 1
10000, 1, 4
10001, 2, 3
10010, 2, 3
10011, 3, 2
10100, 2, 3
10101, 3, 2
10110, 3, 2
10111, 4, 1
11000, 2, 3
11001, 3, 2
11010, 3, 2
11011, 4, 1
11100, 3, 2
11101, 4, 1
11110, 4, 1
11111, 5, 0
000000, 0, 6
000001, 1, 5
000010, 1, 5
000011, 2, 4
000100, 1, 5
000101, 2, 4
000110, 2, 4
000111, 3, 3
001000, 1, 5
001001, 2, 4
001010, 2, 4
001011, 3, 3
001100, 2, 4
001101, 3, 3
001110, 3, 3
001111, 4, 2
010000, 1, 5
010001, 2, 4
010010, 2, 4
010011, 3, 3
010100, 2, 4
010101, 3, 3
010110, 3, 3
010111, 4, 2
011000, 2, 4
011001, 3, 3
011010, 3, 3
011011, 4, 2
011100, 3, 3
011101, 4, 2
011110, 4, 2
011111, 5, 1
100000, 1, 5
100001, 2, 4
100010, 2, 4
100011, 3, 3
100100, 2, 4
100101, 3, 3
100110, 3, 3
100111, 4, 2
101000, 2, 4
101001, 3, 3
101010, 3, 3
101011, 4, 2
101100, 3, 3
101101, 4, 2
101110, 4, 2
101111, 5, 1
110000, 2, 4
110001, 3, 3
110010, 3, 3
110011, 4, 2
110100, 3, 3
110101, 4, 2
110110, 4, 2
110111, 5, 1
111000, 3, 3
111001, 4, 2
111010, 4, 2
111011, 5, 1
111100, 4, 2
111101, 5, 1
111110, 5, 1
111111, 6, 0
0000000, 0, 7
0000001, 1, 6
0000010, 1, 6
0000011, 2, 5
0000100, 1, 6
0000101, 2, 5
0000110, 2, 5
0000111, 3, 4
0001000, 1, 6
0001001, 2, 5
0001010, 2, 5
0001011, 3, 4
0001100, 2, 5
0001101, 3, 4
0001110, 3, 4
0001111, 4, 3
0010000, 1, 6
0010001, 2, 5
0010010, 2, 5
0010011, 3, 4
0010100, 2, 5
0010101, 3, 4
0010110, 3, 4
0010111, 4, 3
0011000, 2, 5
0011001, 3, 4
0011010, 3, 4
0011011, 4, 3
0011100, 3, 4
0011101, 4, 3
0011110, 4, 3
0011111, 5, 2
0100000, 1, 6
0100001, 2, 5
0100010, 2, 5
0100011, 3, 4
0100100, 2, 5
0100101, 3, 4
0100110, 3, 4
0100111, 4, 3
0101000, 2, 5
0101001, 3, 4
0101010, 3, 4
0101011, 4, 3
0101100, 3, 4
0101101, 4, 3
0101110, 4, 3
0101111, 5, 2
0110000, 2, 5
0110001, 3, 4
0110010, 3, 4
0110011, 4, 3
0110100, 3, 4
0110101, 4, 3
0110110, 4, 3
0110111, 5, 2
0111000, 3, 4
0111001, 4, 3
0111010, 4, 3
0111011, 5, 2
0111100, 4, 3
0111101, 5, 2
0111110, 5, 2
0111111, 6, 1
1000000, 1, 6
1000001, 2, 5
1000010, 2, 5
1000011, 3, 4
1000100, 2, 5
1000101, 3, 4
1000110, 3, 4
1000111, 4, 3
1001000, 2, 5
1001001, 3, 4
1001010, 3, 4
1001011, 4, 3
1001100, 3, 4
1001101, 4, 3
1001110, 4, 3
1001111, 5, 2
1010000, 2, 5
1010001, 3, 4
1010010, 3, 4
1010011, 4, 3
1010100, 3, 4
1010101, 4, 3
1010110, 4, 3
1010111, 5, 2
1011000, 3, 4
1011001, 4, 3
1011010, 4, 3
1011011, 5, 2
1011100, 4, 3
1011101, 5, 2
1011110, 5, 2
1011111, 6, 1
1100000, 2, 5
1100001, 3, 4
1100010, 3, 4
1100011, 4, 3
1100100, 3, 4
1100101, 4, 3
1100110, 4, 3
1100111, 5, 2
1101000, 3, 4
1101001, 4, 3
1101010, 4, 3
1101011, 5, 2
1101100, 4, 3
1101101, 5, 2
1101110, 5, 2
1101111, 6, 1
1110000, 3, 4
1110001, 4, 3
1110010, 4, 3
1110011, 5, 2
1110100, 4, 3
1110101, 5, 2
1110110, 5, 2
1110111, 6, 1
1111000, 4, 3
1111001, 5, 2
1111010, 5, 2
1111011, 6, 1
1111100, 5, 2
1111101, 6, 1
1111110, 6, 1
1111111, 7, 0
00000000, 0, 8
